country_code,year,free_education_years,inbound_mobility_rate,outbound_mobility_rate,region
ARM,2015,12.0,4.210080146789551,7.175809860229492,Asia
ARM,2016,12.0,4.100430011749268,7.233230113983154,Asia
ARM,2017,12.0,4.303780078887939,5.619050025939941,Asia
ARM,2018,12.0,4.468810081481934,6.379069805145264,Asia
ARM,2019,12.0,5.5176100730896,6.995510101318359,Asia
ARM,2020,12.0,5.912280082702637,5.633560180664063,Asia
ARM,2021,12.0,5.908530235290527,5.232120037078857,Asia
ARM,2022,12.0,7.255589962005615,5.696579933166504,Asia
AZE,2013,11.0,2.367399930953979,11.89352989196777,Asia
AZE,2014,11.0,2.254849910736084,16.69990921020508,Asia
AZE,2015,11.0,2.051899909973145,19.57826042175293,Asia
AZE,2016,11.0,2.008630037307739,21.2644100189209,Asia
AZE,2017,11.0,2.072789907455444,20.7537899017334,Asia
AZE,2018,11.0,2.340869903564453,22.0265007019043,Asia
AZE,2019,11.0,2.227420091629028,20.24628067016602,Asia
AZE,2020,11.0,2.360359907150269,18.04237937927246,Asia
AZE,2021,11.0,2.277299880981445,17.72281074523926,Asia
AZE,2022,11.0,2.391949892044067,18.62885093688965,Asia
BGD,2014,,,2.571619987487793,Asia
BGD,2016,5.0,,2.309989929199219,Asia
BGD,2017,5.0,,2.103650093078613,Asia
BGD,2018,5.0,,1.597599983215332,Asia
BGD,2019,5.0,,1.205479979515076,Asia
BGD,2020,5.0,,1.42235004901886,Asia
BGD,2021,5.0,,,Asia
BGD,2022,5.0,0.0598299987614155,1.677049994468689,Asia
BHR,2013,12.0,,12.48373031616211,Asia
BHR,2014,12.0,13.22120952606201,13.23270988464355,Asia
BHR,2015,12.0,13.87368011474609,13.99285984039307,Asia
BHR,2016,12.0,12.60910987854004,14.28841972351074,Asia
BHR,2017,12.0,13.1469898223877,13.81322956085205,Asia
BHR,2018,12.0,13.44013977050781,12.96032047271729,Asia
BHR,2019,12.0,14.15040016174316,11.16156959533691,Asia
BHR,2020,12.0,12.75623035430908,10.91063976287842,Asia
BHR,2021,12.0,11.66094017028809,10.13039970397949,Asia
BHR,2022,12.0,10.57458019256592,9.052490234375,Asia
BRN,2013,0.0,,40.05018997192383,Asia
BRN,2014,0.0,3.188100099563599,30.82835006713867,Asia
BRN,2015,0.0,4.868400096893311,31.80273056030273,Asia
BRN,2016,0.0,3.16985011100769,32.00693130493164,Asia
BRN,2017,0.0,3.760890007019043,28.80026054382324,Asia
BRN,2018,0.0,4.367010116577148,25.10880088806152,Asia
BRN,2019,0.0,3.407449960708618,18.5951099395752,Asia
BRN,2020,0.0,3.724390029907227,22.87030029296875,Asia
BRN,2021,0.0,,,Asia
BRN,2022,0.0,,,Asia
BTN,2013,11.0,,43.06232833862305,Asia
BTN,2014,11.0,,,Asia
BTN,2015,11.0,,,Asia
BTN,2016,11.0,,,Asia
BTN,2017,11.0,,,Asia
BTN,2018,11.0,,38.37479019165039,Asia
BTN,2019,11.0,,,Asia
BTN,2020,11.0,,44.02602005004883,Asia
BTN,2021,11.0,34.2347297668457,38.02256011962891,Asia
BTN,2022,11.0,,39.13592147827148,Asia
CHN,2013,9.0,0.2827999889850616,2.109139919281006,Asia
CHN,2014,9.0,0.2581300139427185,1.836570024490356,Asia
CHN,2015,9.0,0.2839199900627136,1.887629985809326,Asia
CHN,2016,9.0,0.3133699893951416,1.975229978561401,Asia
CHN,2017,9.0,0.3560299873352051,2.1038498878479,Asia
CHN,2018,9.0,0.3967300057411194,2.22022008895874,Asia
CHN,2019,9.0,0.4280900061130524,2.255680084228516,Asia
CHN,2020,9.0,0.4480699896812439,2.208159923553467,Asia
CHN,2021,9.0,0.4118199944496155,1.930189967155457,Asia
CHN,2022,9.0,0.3691099882125854,1.841639995574951,Asia
CYP,2013,12.0,14.87876987457275,82.31707763671875,Asia
